Gender,Education,Years_of_Professional_Experience,Region,Employment_Type,Area_of_Expertise,Annual_Salary,bonus
Male,Master's Degree,3,Rogaland,konsulent,frontend,700000.00,No
Male,No Education,3,Rogaland,konsulent,frontend,760000.00,Yes
Female,Master's Degree,2,Rogaland,konsulent,frontend,690000.00,Yes
Male,Below Bachelor's,2,Rogaland,"in-house, privat sektor",frontend,600000.00,No
Female,Below Bachelor's,1,Rogaland,konsulent,frontend,610000.00,No
Male,Below Bachelor's,1,Rogaland,"in-house, privat sektor",frontend,650000.00,Yes
Male,Below Bachelor's,0,Rogaland,konsulent,frontend,610000.00,Yes
Male,Bachelor's Degree,5,Troms og Finnmark,"in-house, privat sektor",frontend,567000.00,No
Male,Below Bachelor's,5,Troms og Finnmark,"in-house, privat sektor",frontend,850000.00,Yes
Male,Below Bachelor's,2,Troms og Finnmark,"in-house, privat sektor",frontend,685000.00,No
Male,No Education,30,Trøndelag,"in-house, offentlig/kommunal sektor",frontend,770000.00,No
Male,Below Bachelor's,25,Trøndelag,"in-house, privat sektor",frontend,570000.00,Yes
Male,Below Bachelor's,25,Trøndelag,"in-house, privat sektor",frontend,1050000.00,Yes
Male,Below Bachelor's,24,Trøndelag,"in-house, privat sektor",frontend,680000.00,Yes
Male,No Education,12,Trøndelag,"in-house, privat sektor",frontend,700000.00,No
Male,Below Bachelor's,12,Trøndelag,konsulent,frontend,1030000.00,No
Male,Below Bachelor's,11,Trøndelag,"in-house, privat sektor",frontend,670000.00,No
Female,Below Bachelor's,10,Trøndelag,konsulent,frontend,773800.00,No
Male,Below Bachelor's,10,Trøndelag,"in-house, offentlig/kommunal sektor",frontend,780000.00,No
Male,Below Bachelor's,9,Trøndelag,konsulent,frontend,1200000.00,No
Male,Below Bachelor's,7,Trøndelag,"in-house, privat sektor",frontend,1000000.00,Yes
Male,Below Bachelor's,6,Trøndelag,konsulent,frontend,750000.00,Yes
Male,Below Bachelor's,4,Trøndelag,"in-house, privat sektor",frontend,600000.00,No
Male,Below Bachelor's,4,Trøndelag,konsulent,frontend,710000.00,No
Male,Below Bachelor's,4,Trøndelag,konsulent,frontend,1300000.00,No
Male,Below Bachelor's,2,Trøndelag,"in-house, offentlig/kommunal sektor",frontend,600000.00,No
Male,Master's Degree,2,Trøndelag,konsulent,frontend,790000.00,No
Female,Below Bachelor's,1,Trøndelag,"in-house, privat sektor",frontend,620000.00,No
Male,Master's Degree,1,Trøndelag,konsulent,frontend,730000.00,Yes
Male,Master's Degree,1,Trøndelag,konsulent,frontend,766500.00,No
Female,Master's Degree,0,Trøndelag,konsulent,frontend,635833.00,No
Male,Master's Degree,10,utlandet,"in-house, privat sektor",frontend,800000.00,No
Male,Below Bachelor's,10,utlandet,"in-house, privat sektor",frontend,1178000.00,Yes
Male,No Education,5,utlandet,"in-house, privat sektor",frontend,941000.00,No
Male,Below Bachelor's,3,utlandet,"in-house, privat sektor",frontend,2200000.00,Yes
Female,No Education,2,utlandet,"in-house, privat sektor",frontend,820000.00,No
Male,No Education,20,Vestfold og Telemark,"in-house, privat sektor",frontend,810000.00,No
Male,Below Bachelor's,20,Vestfold og Telemark,"in-house, privat sektor",frontend,930000.00,No
Male,Below Bachelor's,19,Vestfold og Telemark,"in-house, privat sektor",frontend,819000.00,No
Male,Master's Degree,18,Vestfold og Telemark,"in-house, privat sektor",frontend,1050000.00,Yes
Female,Below Bachelor's,12,Vestfold og Telemark,"in-house, privat sektor",frontend,750000.00,Yes
Female,Below Bachelor's,11,Vestfold og Telemark,konsulent,frontend,1100000.00,Yes
Male,Master's Degree,10,Vestfold og Telemark,konsulent,frontend,900000.00,Yes
Female,Below Bachelor's,6,Vestfold og Telemark,konsulent,frontend,760000.00,No
Male,Below Bachelor's,6,Vestfold og Telemark,konsulent,frontend,730000.00,Yes
Male,Below Bachelor's,4,Vestfold og Telemark,"in-house, privat sektor",frontend,593000.00,No
Male,No Education,4,Vestfold og Telemark,"in-house, privat sektor",frontend,600000.00,Yes
Male,Master's Degree,4,Vestfold og Telemark,"in-house, privat sektor",frontend,620000.00,No
Male,Below Bachelor's,4,Vestfold og Telemark,"in-house, privat sektor",frontend,700000.00,No
Female,Below Bachelor's,3,Vestfold og Telemark,konsulent,frontend,610000.00,No
Female,Below Bachelor's,3,Vestfold og Telemark,"in-house, privat sektor",frontend,655000.00,No
Male,Below Bachelor's,3,Vestfold og Telemark,"in-house, privat sektor",frontend,550000.00,No
Male,Below Bachelor's,3,Vestfold og Telemark,konsulent,frontend,600000.00,No
Male,Below Bachelor's,3,Vestfold og Telemark,konsulent,frontend,720000.00,Yes
Male,Below Bachelor's,2,Vestfold og Telemark,"in-house, privat sektor",frontend,650000.00,No
Male,Bachelor's Degree,0,Vestfold og Telemark,"in-house, privat sektor",frontend,750000.00,Yes
Male,Below Bachelor's,23,Vestland,konsulent,frontend,1020000.00,Yes
Female,Master's Degree,17,Vestland,konsulent,frontend,1100000.00,No
Male,Below Bachelor's,17,Vestland,"in-house, privat sektor",frontend,1152500.00,No
Male,Master's Degree,12,Vestland,konsulent,frontend,1320000.00,No
Female,Below Bachelor's,10,Vestland,"in-house, privat sektor",frontend,975000.00,Yes
Male,Master's Degree,9,Vestland,"in-house, privat sektor",frontend,1000000.00,No
Male,Higher than Master's,9,Vestland,"in-house, privat sektor",frontend,1200000.00,No
Male,Bachelor's Degree,7,Vestland,"in-house, privat sektor",frontend,690000.00,No
Male,Below Bachelor's,7,Vestland,"in-house, privat sektor",frontend,840000.00,No
Male,Master's Degree,7,Vestland,konsulent,frontend,1029000.00,No
Female,Higher than Master's,6,Vestland,"in-house, privat sektor",frontend,729000.00,No
Male,Below Bachelor's,6,Vestland,"in-house, privat sektor",frontend,750000.00,Yes
Female,Master's Degree,5,Vestland,"in-house, privat sektor",frontend,750000.00,No
Female,Below Bachelor's,5,Vestland,"in-house, privat sektor",frontend,760000.00,Yes
Male,Below Bachelor's,5,Vestland,"in-house, privat sektor",frontend,1034000.00,Yes
Female,Master's Degree,4,Vestland,konsulent,frontend,798000.00,No
Male,Below Bachelor's,4,Vestland,"in-house, privat sektor",frontend,890000.00,Yes
Male,Master's Degree,4,Vestland,"in-house, privat sektor",frontend,890000.00,Yes
Male,Bachelor's Degree,4,Vestland,konsulent,frontend,950000.00,Yes
Female,Below Bachelor's,3,Vestland,"in-house, privat sektor",frontend,600000.00,No
Female,Below Bachelor's,3,Vestland,"in-house, privat sektor",frontend,680000.00,No
Female,Below Bachelor's,3,Vestland,"in-house, privat sektor",frontend,730000.00,No
Female,Below Bachelor's,3,Vestland,"in-house, privat sektor",frontend,790000.00,No
Male,Below Bachelor's,3,Vestland,konsulent,frontend,580000.00,No
Male,Below Bachelor's,3,Vestland,"in-house, privat sektor",frontend,620000.00,No
Male,Master's Degree,3,Vestland,konsulent,frontend,692000.00,No
Male,Below Bachelor's,3,Vestland,"in-house, privat sektor",frontend,720000.00,No
Female,Master's Degree,2,Vestland,konsulent,frontend,770000.00,Yes
Male,No Education,2,Vestland,"in-house, privat sektor",frontend,450000.00,No
Male,Below Bachelor's,2,Vestland,"in-house, privat sektor",frontend,675000.00,Yes
Female,Below Bachelor's,1,Vestland,"in-house, privat sektor",frontend,650000.00,No
Male,No Education,1,Vestland,"in-house, privat sektor",frontend,370000.00,No
Male,Below Bachelor's,1,Vestland,"in-house, offentlig/kommunal sektor",frontend,550000.00,No
Male,Master's Degree,1,Vestland,konsulent,frontend,650000.00,No
Male,No Education,0,Vestland,"in-house, offentlig/kommunal sektor",frontend,520000.00,No
Male,Higher than Master's,27,Viken,"in-house, privat sektor",frontend,1100000.00,No
Male,Below Bachelor's,19,Viken,frilans / selvstendig næringsdrivende,frontend,1800000.00,Yes
Male,Bachelor's Degree,15,Viken,"in-house, privat sektor",frontend,1150000.00,No
Male,Master's Degree,14,Viken,"in-house, privat sektor",frontend,950000.00,No
Male,Below Bachelor's,5,Viken,"in-house, privat sektor",frontend,800000.00,No
Male,Below Bachelor's,5,Viken,konsulent,frontend,830000.00,No
Male,Below Bachelor's,4,Viken,"in-house, privat sektor",frontend,642000.00,No
Male,Below Bachelor's,4,Viken,konsulent,frontend,860000.00,Yes
Male,No Education,3,Viken,"in-house, privat sektor",frontend,460000.00,No
Male,Below Bachelor's,3,Viken,"in-house, privat sektor",frontend,575000.00,No
Male,Below Bachelor's,3,Viken,"in-house, privat sektor",frontend,690000.00,No
Male,Bachelor's Degree,2,Viken,"in-house, privat sektor",frontend,585000.00,No
Male,Below Bachelor's,2,Viken,"in-house, privat sektor",frontend,675000.00,Yes
Female,Below Bachelor's,1,Viken,"in-house, privat sektor",frontend,550000.00,Yes
Male,Master's Degree,1,Viken,"in-house, privat sektor",frontend,750000.00,Yes
Female,Below Bachelor's,0,Viken,konsulent,frontend,585000.00,No
Male,Below Bachelor's,0,Viken,"in-house, offentlig/kommunal sektor",frontend,548600.00,No
Male,Bachelor's Degree,32,Agder,"in-house, privat sektor",fullstack,830000.00,No
Male,Below Bachelor's,25,Agder,"in-house, privat sektor",fullstack,820000.00,No
Male,Master's Degree,20,Agder,konsulent,fullstack,1000000.00,No
Male,Below Bachelor's,15,Agder,konsulent,fullstack,1200000.00,No
Male,Master's Degree,14,Agder,konsulent,fullstack,955000.00,Yes
Male,Higher than Master's,13,Agder,konsulent,fullstack,1050000.00,No
Male,No Education,12,Agder,"in-house, privat sektor",fullstack,850000.00,No
Male,Master's Degree,11,Agder,"in-house, privat sektor",fullstack,870000.00,No
Male,Below Bachelor's,10,Agder,konsulent,fullstack,750000.00,Yes
Male,Master's Degree,10,Agder,"in-house, privat sektor",fullstack,920000.00,No
Male,Below Bachelor's,8,Agder,konsulent,fullstack,930000.00,Yes
Male,No Education,7,Agder,konsulent,fullstack,936000.00,Yes
Male,No Education,6,Agder,"in-house, privat sektor",fullstack,550000.00,No
Male,Below Bachelor's,6,Agder,"in-house, privat sektor",fullstack,795500.00,No
Male,No Education,5,Agder,"in-house, privat sektor",fullstack,557100.00,No
Male,Below Bachelor's,5,Agder,"in-house, privat sektor",fullstack,906000.00,No
Male,Bachelor's Degree,5,Agder,konsulent,fullstack,958000.00,No
Male,Master's Degree,4,Agder,konsulent,fullstack,750000.00,Yes
Male,Master's Degree,4,Agder,konsulent,fullstack,800000.00,Yes
Male,Below Bachelor's,3,Agder,konsulent,fullstack,650000.00,Yes
Male,Below Bachelor's,3,Agder,"in-house, privat sektor",fullstack,700000.00,No
Male,Higher than Master's,3,Agder,"in-house, privat sektor",fullstack,760000.00,Yes
Male,Below Bachelor's,3,Agder,"in-house, privat sektor",fullstack,780000.00,Yes
Male,Below Bachelor's,2,Agder,"in-house, privat sektor",fullstack,500000.00,Yes
Male,Below Bachelor's,2,Agder,konsulent,fullstack,600000.00,No
Male,Below Bachelor's,2,Agder,"in-house, privat sektor",fullstack,620000.00,Yes
Male,Below Bachelor's,2,Agder,konsulent,fullstack,630000.00,No
Male,Below Bachelor's,1,Agder,frilans / selvstendig næringsdrivende,fullstack,300000.00,No
Male,Bachelor's Degree,1,Agder,konsulent,fullstack,550000.00,No
Male,Bachelor's Degree,35,Innlandet,"in-house, privat sektor",fullstack,900000.00,No
Male,Bachelor's Degree,28,Innlandet,frilans / selvstendig næringsdrivende,fullstack,1600000.00,No
Male,Master's Degree,21,Innlandet,"in-house, privat sektor",fullstack,1000000.00,No
Male,No Education,21,Innlandet,"in-house, privat sektor",fullstack,1100000.00,No
Male,Higher than Master's,20,Innlandet,"in-house, privat sektor",fullstack,1270000.00,No
Male,Master's Degree,19,Innlandet,"in-house, offentlig/kommunal sektor",fullstack,1000000.00,No
Male,Master's Degree,18,Innlandet,konsulent,fullstack,1000000.00,Yes
Male,No Education,15,Innlandet,konsulent,fullstack,1250000.00,No
Male,Below Bachelor's,11,Innlandet,"in-house, privat sektor",fullstack,900000.00,No
Female,Master's Degree,10,Innlandet,"in-house, privat sektor",fullstack,879000.00,Yes
Male,Below Bachelor's,10,Innlandet,frilans / selvstendig næringsdrivende,fullstack,936000.00,No
Male,No Education,6,Innlandet,frilans / selvstendig næringsdrivende,fullstack,450000.00,No
Male,Below Bachelor's,5,Innlandet,"in-house, privat sektor",fullstack,630000.00,No
Male,Master's Degree,5,Innlandet,"in-house, privat sektor",fullstack,680000.00,No
Male,Bachelor's Degree,5,Innlandet,konsulent,fullstack,720000.00,No
Male,Below Bachelor's,4,Innlandet,konsulent,fullstack,930000.00,Yes
Male,No Education,4,Innlandet,frilans / selvstendig næringsdrivende,fullstack,1060000.00,No
Male,Below Bachelor's,3,Innlandet,konsulent,fullstack,647500.00,Yes
Female,Higher than Master's,1,Innlandet,"in-house, privat sektor",fullstack,581000.00,No
Male,Below Bachelor's,1,Innlandet,"in-house, offentlig/kommunal sektor",fullstack,600000.00,No
Male,No Education,0,Innlandet,konsulent,fullstack,520000.00,Yes
Male,Master's Degree,20,Møre og Romsdal,konsulent,fullstack,750000.00,No
Male,Master's Degree,20,Møre og Romsdal,konsulent,fullstack,760000.00,Yes
Male,Below Bachelor's,20,Møre og Romsdal,"in-house, privat sektor",fullstack,1200000.00,No
Male,Higher than Master's,16,Møre og Romsdal,"in-house, privat sektor",fullstack,900000.00,Yes
Male,Below Bachelor's,15,Møre og Romsdal,"in-house, privat sektor",fullstack,800000.00,No
Male,Below Bachelor's,11,Møre og Romsdal,"in-house, privat sektor",fullstack,830000.00,Yes
Male,Below Bachelor's,11,Møre og Romsdal,"in-house, privat sektor",fullstack,1000000.00,No
Male,Higher than Master's,10,Møre og Romsdal,"in-house, privat sektor",fullstack,500000.00,Yes
Male,Master's Degree,9,Møre og Romsdal,konsulent,fullstack,845000.00,Yes
Male,Master's Degree,9,Møre og Romsdal,"in-house, privat sektor",fullstack,1100000.00,No
Male,Below Bachelor's,8,Møre og Romsdal,"in-house, privat sektor",fullstack,680000.00,No
Male,Below Bachelor's,8,Møre og Romsdal,konsulent,fullstack,770000.00,Yes
Male,Bachelor's Degree,7,Møre og Romsdal,konsulent,fullstack,890000.00,Yes
Male,Below Bachelor's,6,Møre og Romsdal,"in-house, privat sektor",fullstack,750000.00,No
Female,Master's Degree,5,Møre og Romsdal,"in-house, privat sektor",fullstack,715000.00,No
Male,Bachelor's Degree,5,Møre og Romsdal,"in-house, privat sektor",fullstack,750000.00,No
Female,Below Bachelor's,4,Møre og Romsdal,"in-house, privat sektor",fullstack,650000.00,No
Male,No Education,4,Møre og Romsdal,"in-house, privat sektor",fullstack,600000.00,Yes
Male,Higher than Master's,4,Møre og Romsdal,"in-house, privat sektor",fullstack,680000.00,No
Male,Below Bachelor's,4,Møre og Romsdal,konsulent,fullstack,1000000.00,No
Male,Below Bachelor's,3,Møre og Romsdal,"in-house, privat sektor",fullstack,574000.00,No
Male,Below Bachelor's,3,Møre og Romsdal,"in-house, privat sektor",fullstack,579000.00,Yes
Male,Below Bachelor's,3,Møre og Romsdal,"in-house, privat sektor",fullstack,600000.00,No
Male,No Education,3,Møre og Romsdal,"in-house, privat sektor",fullstack,900000.00,No
Male,Below Bachelor's,2,Møre og Romsdal,"in-house, privat sektor",fullstack,528000.00,No
Male,Master's Degree,1,Møre og Romsdal,konsulent,fullstack,640000.00,No
Male,Higher than Master's,38,Nordland,"in-house, privat sektor",fullstack,950000.00,No
Male,Master's Degree,15,Nordland,"in-house, privat sektor",fullstack,870000.00,No
Male,Below Bachelor's,12,Nordland,"in-house, privat sektor",fullstack,900000.00,No
Male,Master's Degree,12,Nordland,"in-house, privat sektor",fullstack,1100000.00,No
Male,Higher than Master's,11,Nordland,"in-house, privat sektor",fullstack,1450000.00,Yes
Male,Master's Degree,10,Nordland,frilans / selvstendig næringsdrivende,fullstack,2400000.00,No
Male,Below Bachelor's,9,Nordland,"in-house, privat sektor",fullstack,705000.00,No
Male,Below Bachelor's,9,Nordland,"in-house, privat sektor",fullstack,780000.00,Yes
Male,No Education,9,Nordland,"in-house, privat sektor",fullstack,800000.00,Yes
Male,Higher than Master's,9,Nordland,"in-house, privat sektor",fullstack,1350000.00,Yes
Female,Below Bachelor's,7,Nordland,"in-house, privat sektor",fullstack,485000.00,No
Male,Below Bachelor's,5,Nordland,"in-house, offentlig/kommunal sektor",fullstack,700000.00,No
Male,Below Bachelor's,5,Nordland,konsulent,fullstack,700000.00,No
Male,Below Bachelor's,4,Nordland,"in-house, privat sektor",fullstack,600000.00,Yes
Male,Below Bachelor's,4,Nordland,"in-house, offentlig/kommunal sektor",fullstack,760000.00,No
Male,Below Bachelor's,3,Nordland,"in-house, offentlig/kommunal sektor",fullstack,650000.00,Yes
Male,Bachelor's Degree,3,Nordland,"in-house, privat sektor",fullstack,650000.00,No
Male,Master's Degree,3,Nordland,"in-house, privat sektor",fullstack,710000.00,Yes
Male,Below Bachelor's,2,Nordland,"in-house, offentlig/kommunal sektor",fullstack,590000.00,No
Male,Below Bachelor's,0,Nordland,"in-house, offentlig/kommunal sektor",fullstack,550000.00,No
Male,Below Bachelor's,40,Oslo,"in-house, privat sektor",fullstack,1040000.00,No
Male,Master's Degree,31,Oslo,"in-house, privat sektor",fullstack,1000000.00,No
Male,Below Bachelor's,30,Oslo,konsulent,fullstack,2200000.00,Yes
Male,Below Bachelor's,26,Oslo,"in-house, privat sektor",fullstack,990000.00,No
Male,Below Bachelor's,26,Oslo,konsulent,fullstack,1250000.00,No
Female,Master's Degree,25,Oslo,konsulent,fullstack,780000.00,Yes
Male,Below Bachelor's,25,Oslo,"in-house, privat sektor",fullstack,650000.00,No
Male,Below Bachelor's,25,Oslo,"in-house, privat sektor",fullstack,680000.00,No
Male,Below Bachelor's,25,Oslo,"in-house, privat sektor",fullstack,850000.00,No
Male,Below Bachelor's,25,Oslo,"in-house, privat sektor",fullstack,1020000.00,No
Male,Master's Degree,25,Oslo,"in-house, privat sektor",fullstack,1100000.00,No
Male,Below Bachelor's,25,Oslo,konsulent,fullstack,1700000.00,Yes
Female,Master's Degree,24,Oslo,"in-house, privat sektor",fullstack,766000.00,No
Male,Below Bachelor's,24,Oslo,konsulent,fullstack,1000000.00,No
Male,Bachelor's Degree,24,Oslo,"in-house, offentlig/kommunal sektor",fullstack,1000000.00,No
Male,Higher than Master's,24,Oslo,konsulent,fullstack,1300000.00,No
Male,Below Bachelor's,24,Oslo,frilans / selvstendig næringsdrivende,fullstack,1800000.00,Yes
Male,Master's Degree,24,Oslo,frilans / selvstendig næringsdrivende,fullstack,1900000.00,No
Male,Higher than Master's,24,Oslo,konsulent,fullstack,2300000.00,Yes
Female,Below Bachelor's,22,Oslo,"in-house, offentlig/kommunal sektor",fullstack,1021000.00,No
Male,Master's Degree,21,Oslo,konsulent,fullstack,1350000.00,Yes
Male,Master's Degree,20,Oslo,"in-house, privat sektor",fullstack,910000.00,No
Male,Below Bachelor's,20,Oslo,"in-house, privat sektor",fullstack,950000.00,No
Male,Higher than Master's,20,Oslo,"in-house, offentlig/kommunal sektor",fullstack,975000.00,No
Male,Higher than Master's,20,Oslo,"in-house, privat sektor",fullstack,1050000.00,No
Male,Master's Degree,20,Oslo,konsulent,fullstack,1150000.00,No
Male,No Education,20,Oslo,frilans / selvstendig næringsdrivende,fullstack,1200000.00,No
Male,Bachelor's Degree,20,Oslo,konsulent,fullstack,1400000.00,No
Male,Master's Degree,20,Oslo,konsulent,fullstack,1450000.00,Yes
Male,Higher than Master's,19,Oslo,konsulent,fullstack,1030000.00,Yes
Male,Master's Degree,19,Oslo,"in-house, privat sektor",fullstack,1400000.00,No
Male,Master's Degree,19,Oslo,konsulent,fullstack,2500000.00,Yes
Other,Below Bachelor's,18,Oslo,"in-house, offentlig/kommunal sektor",fullstack,975000.00,No
Female,Master's Degree,18,Oslo,konsulent,fullstack,1100000.00,Yes
Female,Master's Degree,18,Oslo,konsulent,fullstack,1400000.00,No
Male,Higher than Master's,18,Oslo,"in-house, privat sektor",fullstack,928000.00,No
Male,Below Bachelor's,18,Oslo,"in-house, privat sektor",fullstack,1100000.00,No
Male,Bachelor's Degree,18,Oslo,"in-house, privat sektor",fullstack,1100000.00,No
Male,Master's Degree,18,Oslo,"in-house, privat sektor",fullstack,1380000.00,Yes
Male,Higher than Master's,18,Oslo,"in-house, privat sektor",fullstack,1450000.00,Yes
Male,Below Bachelor's,18,Oslo,"in-house, privat sektor",fullstack,1700000.00,Yes
Male,Master's Degree,18,Oslo,konsulent,fullstack,2000000.00,No
Female,Master's Degree,17,Oslo,konsulent,fullstack,1000000.00,Yes
Male,Below Bachelor's,17,Oslo,"in-house, privat sektor",fullstack,800000.00,No
Male,Master's Degree,17,Oslo,"in-house, privat sektor",fullstack,850000.00,No
Male,Below Bachelor's,17,Oslo,"in-house, offentlig/kommunal sektor",fullstack,890700.00,Yes
Male,Below Bachelor's,17,Oslo,"in-house, privat sektor",fullstack,955000.00,No
Male,Higher than Master's,17,Oslo,"in-house, offentlig/kommunal sektor",fullstack,1000000.00,No
Male,Below Bachelor's,17,Oslo,"in-house, privat sektor",fullstack,1005000.00,Yes
Male,No Education,17,Oslo,konsulent,fullstack,1200000.00,No
Male,Master's Degree,17,Oslo,konsulent,fullstack,1400000.00,No
Male,Below Bachelor's,16,Oslo,konsulent,fullstack,849000.00,No
Male,No Education,16,Oslo,"in-house, privat sektor",fullstack,1100000.00,Yes
Male,Higher than Master's,16,Oslo,konsulent,fullstack,1100000.00,No
Male,Below Bachelor's,16,Oslo,konsulent,fullstack,1190000.00,No
Male,Master's Degree,15,Oslo,konsulent,fullstack,600000.00,Yes
Male,Master's Degree,15,Oslo,konsulent,fullstack,660000.00,Yes
Male,No Education,15,Oslo,"in-house, privat sektor",fullstack,680000.00,Yes
Male,Below Bachelor's,15,Oslo,"in-house, privat sektor",fullstack,700000.00,No
Male,Below Bachelor's,15,Oslo,"in-house, offentlig/kommunal sektor",fullstack,800000.00,No
Male,Master's Degree,15,Oslo,"in-house, privat sektor",fullstack,1000000.00,No
Male,Higher than Master's,15,Oslo,"in-house, offentlig/kommunal sektor",fullstack,1000000.00,No
Male,Master's Degree,15,Oslo,konsulent,fullstack,1150000.00,No
Male,Master's Degree,15,Oslo,konsulent,fullstack,1200000.00,No
Male,Below Bachelor's,15,Oslo,"in-house, privat sektor",fullstack,1450000.00,No
Male,No Education,15,Oslo,frilans / selvstendig næringsdrivende,fullstack,2300000.00,No
Other,Bachelor's Degree,14,Oslo,"in-house, privat sektor",fullstack,1050000.00,Yes
Female,Master's Degree,14,Oslo,konsulent,fullstack,1145000.00,No
Male,Master's Degree,14,Oslo,"in-house, offentlig/kommunal sektor",fullstack,972000.00,No
Male,Below Bachelor's,14,Oslo,"in-house, offentlig/kommunal sektor",fullstack,1010000.00,No
Male,Below Bachelor's,14,Oslo,konsulent,fullstack,1075000.00,Yes
Male,Higher than Master's,14,Oslo,konsulent,fullstack,1200000.00,No
Male,Below Bachelor's,14,Oslo,"in-house, privat sektor",fullstack,1350000.00,No
Male,Master's Degree,14,Oslo,konsulent,fullstack,1400000.00,No
Female,Master's Degree,13,Oslo,konsulent,fullstack,1165000.00,No
Male,Below Bachelor's,13,Oslo,"in-house, privat sektor",fullstack,840000.00,No
Male,Below Bachelor's,13,Oslo,"in-house, privat sektor",fullstack,1000000.00,No
Male,Bachelor's Degree,13,Oslo,"in-house, privat sektor",fullstack,1180000.00,No
Male,Master's Degree,13,Oslo,konsulent,fullstack,1180000.00,No
Male,Below Bachelor's,13,Oslo,konsulent,fullstack,1400000.00,Yes
Male,No Education,13,Oslo,konsulent,fullstack,2700000.00,Yes
Female,Master's Degree,12,Oslo,konsulent,fullstack,1080000.00,No
Male,No Education,12,Oslo,"in-house, privat sektor",fullstack,850000.00,No
Male,Master's Degree,12,Oslo,"in-house, offentlig/kommunal sektor",fullstack,850000.00,No
Male,Master's Degree,12,Oslo,"in-house, offentlig/kommunal sektor",fullstack,875000.00,No
Male,No Education,12,Oslo,konsulent,fullstack,950000.00,Yes
Male,Higher than Master's,12,Oslo,frilans / selvstendig næringsdrivende,fullstack,1000000.00,No
Male,Below Bachelor's,12,Oslo,konsulent,fullstack,1100000.00,No
Male,Master's Degree,12,Oslo,konsulent,fullstack,1120000.00,No
Male,No Education,12,Oslo,konsulent,fullstack,1150000.00,No
Male,No Education,12,Oslo,"in-house, privat sektor",fullstack,1220000.00,Yes
Male,Bachelor's Degree,12,Oslo,"in-house, privat sektor",fullstack,1264650.00,No
Male,Higher than Master's,12,Oslo,konsulent,fullstack,1300000.00,Yes
Male,Master's Degree,12,Oslo,konsulent,fullstack,1400000.00,No
Male,Below Bachelor's,12,Oslo,frilans / selvstendig næringsdrivende,fullstack,2200000.00,No
Male,Master's Degree,11,Oslo,"in-house, offentlig/kommunal sektor",fullstack,1010000.00,No
Male,Below Bachelor's,11,Oslo,"in-house, privat sektor",fullstack,1050000.00,No
Male,Master's Degree,11,Oslo,konsulent,fullstack,1050000.00,No
Male,Below Bachelor's,11,Oslo,konsulent,fullstack,1100000.00,Yes
Male,Higher than Master's,11,Oslo,konsulent,fullstack,1100000.00,Yes
Male,Master's Degree,11,Oslo,konsulent,fullstack,1100000.00,No
Male,Master's Degree,11,Oslo,konsulent,fullstack,1300000.00,Yes
Male,Bachelor's Degree,11,Oslo,konsulent,fullstack,1500000.00,Yes
Male,Master's Degree,11,Oslo,frilans / selvstendig næringsdrivende,fullstack,2400000.00,No
Other,Higher than Master's,10,Oslo,konsulent,fullstack,1100000.00,Yes
Female,Below Bachelor's,10,Oslo,konsulent,fullstack,780000.00,No
Female,Master's Degree,10,Oslo,konsulent,fullstack,1010000.00,Yes
Male,No Education,10,Oslo,"in-house, privat sektor",fullstack,700000.00,No
Male,Below Bachelor's,10,Oslo,"in-house, privat sektor",fullstack,950000.00,No
Male,Master's Degree,10,Oslo,konsulent,fullstack,1000000.00,No
Male,Master's Degree,10,Oslo,"in-house, privat sektor",fullstack,1030000.00,No
Male,Master's Degree,10,Oslo,konsulent,fullstack,1050000.00,Yes
Male,Master's Degree,10,Oslo,konsulent,fullstack,1080000.00,No
Male,Master's Degree,10,Oslo,konsulent,fullstack,1100000.00,No
Male,Below Bachelor's,10,Oslo,"in-house, privat sektor",fullstack,1130000.00,No
Male,No Education,10,Oslo,"in-house, privat sektor",fullstack,1200000.00,Yes
Male,Below Bachelor's,10,Oslo,konsulent,fullstack,1300000.00,Yes
Male,Master's Degree,10,Oslo,frilans / selvstendig næringsdrivende,fullstack,1500000.00,Yes
Female,Below Bachelor's,9,Oslo,konsulent,fullstack,1000000.00,No
Female,Master's Degree,9,Oslo,konsulent,fullstack,1050000.00,No
Male,Below Bachelor's,9,Oslo,"in-house, offentlig/kommunal sektor",fullstack,670000.00,No
Male,No Education,9,Oslo,"in-house, privat sektor",fullstack,850000.00,No
Male,Below Bachelor's,9,Oslo,"in-house, privat sektor",fullstack,850000.00,Yes
Male,Below Bachelor's,9,Oslo,konsulent,fullstack,900000.00,Yes
Male,No Education,9,Oslo,konsulent,fullstack,920000.00,No
Male,Below Bachelor's,9,Oslo,"in-house, privat sektor",fullstack,920000.00,Yes
Male,Master's Degree,9,Oslo,"in-house, privat sektor",fullstack,1030000.00,No
Male,Master's Degree,9,Oslo,konsulent,fullstack,1050000.00,No
Male,Higher than Master's,9,Oslo,konsulent,fullstack,1050000.00,No
Male,Higher than Master's,8,Oslo,konsulent,fullstack,720000.00,No
Male,Higher than Master's,8,Oslo,"in-house, privat sektor",fullstack,750000.00,No
Male,Master's Degree,8,Oslo,"in-house, privat sektor",fullstack,860000.00,No
Male,Below Bachelor's,8,Oslo,konsulent,fullstack,950000.00,No
Male,Below Bachelor's,8,Oslo,"in-house, offentlig/kommunal sektor",fullstack,1000000.00,No
Male,Below Bachelor's,8,Oslo,konsulent,fullstack,1000000.00,Yes
